,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
0,Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","Drama, War",Mature Audiences,138,2015-01-01,Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor",United States,0,Participant Media,1,31,59,85149,7.7
1,The Ridiculous 6,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.","Action, Adventure, Comedy",Mature Audiences,120,2015-01-01,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia",United States,0,Happy Madison Productions,0,0,0,52165,4.8
2,Pee-wee's Big Holiday,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"Comedy, Family",Parental Guidance,89,2016-01-01,John Lee,"Paul Reubens, Jordan Black, Doug Cox",United States,0,Pee-wee Pictures,1,0,0,8871,6.1
3,Special Correspondents,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,Comedy,Mature Audiences,100,2016-01-01,Ricky Gervais,"Ricky Gervais, Eric Bana, Vera Farmiga",Canada,1,Bron Studios,1,0,0,25650,5.9
4,The Do-Over,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.","Action, Adventure, Comedy",Mature Audiences,108,2016-01-01,Steve Brill,"Adam Sandler, David Spade, Paula Patton",United States,0,Happy Madison Productions,0,0,0,49828,5.7
5,The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,"Comedy, Drama",Mature Audiences,93,2016-01-01,Rob Burnett,"Craig Roberts, Paul Rudd, Selena Gomez",United States,0,Worldwide Pants,1,0,4,77231,7.3
6,Brahman Naman,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",Comedy,Not Rated,95,2016-01-01,Qaushiq Mukherjee,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad",India,1,No Production Company Listed,1,0,2,1985,5.5
7,Rebirth,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,Thriller,Mature Audiences,101,2016-01-01,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan",United States,0,Campfire,0,0,0,5743,5.0
8,Tallulah,"Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.","Comedy, Drama, Romance",Not Rated,111,2016-01-01,Sian Heder,"Elliot Page, Allison Janney, Tammy Blanchard",United States,0,Route One Entertainment,1,0,2,21129,6.7
9,XOXO,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.","Drama, Music",Mature Audiences,92,2016-01-01,Christopher Louie,"Sarah Hyland, Graham Phillips, Brett DelBuono",United States,0,Netflix,1,0,0,7215,5.3
10,ARQ,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Action, Sci-Fi, Thriller",Mature Audiences,88,2016-01-01,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson",Canada,1,Lost City,1,1,3,41006,6.3
11,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"Action, Drama, History",Mature Audiences,108,2016-01-01,Richie Smyth,"Jamie Dornan, Emmanuelle Seigner, Mark Strong",Ireland,1,No Production Company Listed,1,3,4,42886,7.2
12,Mascots,A look into the world of competitive mascots.,Comedy,Mature Audiences,89,2016-01-01,Christopher Guest,"Zach Woods, Wayne Wilderson, Sarah Baker",United States,0,No Production Company Listed,1,1,1,7914,5.8
13,I Am the Pretty Thing That Lives in the House,A young nurse takes care of an elderly author who lives in a haunted house.,"Drama, Horror, Mystery",Not Rated,87,2016-01-01,Osgood Perkins,"Ruth Wilson, Paula Prentiss, Bob Balaban",Canada,0,Netflix,1,0,2,15443,4.6
14,7 años,"Conocer la pareja de tu vida es sólo obra del destino! Pero una cosa es casarse y otra, controlarse. Así que para sobrevivir la crisis del matrimonio, te diremos cómo lograrlo. Esta divertida comedia te enseñará que en el amor; TO...","Comedy, Romance",Not Rated,77,2013-01-01,Roger Gual,"Ximena Herrera, Víctor González, Roberto Palazuelos",Mexico,0,No Production Company Listed,1,1,0,247,5.0
15,True Memoirs of an International Assassin,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...","Action, Comedy, Crime",Mature Audiences,98,2016-01-01,Jeff Wadlow,"Kevin James, Kim Coates, Maurice Compte",United States,0,PalmStar Media,0,0,0,23953,5.9
