,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
0,Beasts of No Nation,Cary Joji Fukunaga,Cary Joji Fukunaga,Beasts of No Nation by Uzodinma Iweala,"['Amy Kaufman', 'Cary Joji Fukunaga', 'Daniela Taplin Lundberg', 'Riva Marker', 'Jeffrey Skoll', 'Daniel Crown', 'Idris Elba', 'Uzodinma Iweala']","['Idris Elba', 'Kurt Egyiawan', 'Jude Akuwudike', 'Emmanuel ""King King"" Nii Adom Quaye', 'Abraham Attah']",Cary Joji Fukunaga,"['Mikkel E. G. Nielsen', 'Pete Beaudreau']",Dan Romer,"['Participant Media', 'Red Crown Productions', 'New Balloon', 'Primary Productions', 'Parliament of Owls']","['Netflix', 'Bleecker Street']","['September 3, 2015 ', 'October 16, 2015 ']",138 minutes,United States,"['English', 'Krio', 'Twi']",$6 million,"$90,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The Ridiculous 6,Frank Coraci,,,"['Adam Sandler', 'Allen Covert', 'Ted Sarandos']","['Adam Sandler', 'Terry Crews', 'Jorge Garcia', 'Taylor Lautner', 'Rob Schneider', 'Luke Wilson']",Dean Semler,Tom Costain,"['Rupert Gregson-Williams', 'Elmo Weber']",,Netflix,,120 minutes,United States,,$60 million,,"['Tim Herlihy', 'Adam Sandler']",Happy Madison Productions,"['December 11, 2015']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pee-wee's Big Holiday,John Lee,,,"['Judd Apatow', 'Paul Reubens']","['Paul Reubens', 'Joe Manganiello']",Tim Orr,Jeff Buchanan,Mark Mothersbaugh,"['Pee-wee Pictures', 'Apatow Productions']",Netflix,"['March 17, 2016 ', 'March 18, 2016 ']",89 minutes,United States,,,,"['Paul Reubens', 'Paul Rust']",,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Special Correspondents,Ricky Gervais,,Envoyés très spéciaux by Simon Michaël & Jacques Labib,"['Chris Coen', 'Aaron L. Gilbert', 'Ricky Gervais', 'Ted Sarandos', 'Manuel Munz', 'Larry Sanitsky']","['Ricky Gervais', 'Eric Bana', 'Vera Farmiga', 'Kevin Pollak', 'Kelly Macdonald', 'Benjamin Bratt', 'America Ferrera', 'Raúl Castillo']",Terry Stacey,Nicolas Chaudeurge,Dickon Hinchliffe,"['Bron Studios', 'Unanimous Entertainment']",Netflix,"['22 April 2016 ', '29 April 2016 ']",100 minutes,,,,,Ricky Gervais,,,English,"['Canada', 'United States']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The Do-Over,Steve Brill,,,"['Adam Sandler', 'Allen Covert', 'Kevin Grady', 'Ted Sarandos']","['Adam Sandler', 'David Spade', 'Paula Patton', 'Kathryn Hahn', 'Luis Guzmán']",Dean Semler,Tom Costain,Rupert Gregson-Williams,,Netflix,"['May 16, 2016 ', 'May 27, 2016 ']",108 minutes,United States,,$40 million,,"['Kevin Barnett', 'Chris Pappas']",Happy Madison Productions,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,The Fundamentals of Caring,Rob Burnett,,The Revised Fundamentals of Caregiving by Jonathan Evison,"['Rob Burnett', 'Donna Gigliotti', 'James Spies']","['Paul Rudd', 'Craig Roberts', 'Selena Gomez']",Giles Nuttgens,Christopher Passig,Ryan Miller,"['Worldwide Pants', 'Levantine Films']",Netflix,"['January 29, 2016 ', 'June 24, 2016 ']",93 minutes,United States,,,,Rob Burnett,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brahman Naman,Qaushiq Mukherjee,,,Steve Barron Celine Loop,Shashank Arora,Qaushiq Mukherjee Siddhartha Nuni,Manas Mittal,Miti Adhikari Neel Adhikari,,Netflix,,95 minutes,India,,,,Naman Ramachandran,,['24 January 2016 '],English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rebirth,Karl Mueller,,,Ross M. Dinerstein,Fran Kranz Adam Goldberg Nicky Whelan Kat Foster Andrew J. West Eric Ladin,Benji Bakshi,Saul Herckis,Jonathan Snipes,,Netflix,"['April 17, 2016 ', 'July 15, 2016 ']",101 minutes,United States,,,,Karl Mueller,Campfire,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tallulah,Sian Heder,,,"['Heather Rae', 'Russell Levine', 'Chris Columbus', 'Eleanor Columbus', 'Todd Traina']","['Elliot Page', 'Allison Janney', 'Tammy Blanchard']",Paula Huidobro,Darrin Navarro,Michael Brook,"['Route One Entertainment', 'Ocean Blue Entertainment']",Netflix,"['January 23, 2016 ', 'July 29, 2016 ']",111 minutes,United States,,$6 million,,Sian Heder,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,XOXO,Christopher Louie,Dylan Meyer,,"['Christopher Louie', 'Max Leitman', 'Joe Russell', 'Daniel Shafer', 'Pete Tong']","['Sarah Hyland', 'Graham Phillips', 'Brett DeBuono', 'Hayley Kiyoko', 'Colin Woodell', 'Ryan Hansen', 'Ione Skye', ""Chris D'Elia""]",Damián Acevedo,"['Sam Bauer', 'Debby Germinio']",Aaron Drake,"['Netflix', 'PrettyBird']",Netflix,,92 minutes,United States,,,,,,"['August 26, 2016']",English,,Christopher Louie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ARQ,Tony Elliott,,,"['John Finemore', 'Kyle Franke', 'Mason Novick', 'Nick Spicer']","['Robbie Amell', 'Rachael Taylor', 'Shaun Benson', 'Gray Powell', 'Jacob Neayem', 'Adam Butcher']",Daniel Grant,Kye Meechan,"['Keegan Jessamy', 'Bryce Mitchell']","['Lost City', 'XYZ Films', 'MXN Entertainment']",Netflix,"['9 September 2016 ', '16 September 2016 ']",88 minutes,,,under $2 million,,Tony Elliott,,,English,United States Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,The Siege of Jadotville,Richie Smyth,,,"['Kevin Brodbin', 'Alan Moloney', 'Ruth Coady', 'Johanna Hogan', 'Justin Moore-Lewy']","['Jamie Dornan', 'Mark Strong', 'Mikael Persbrandt', ""Jason O'Mara"", 'Danny Sapani', 'Michael McElhatton', 'Guillaume Canet']",Nikolaus Summerer,Alex Mackie,Joseph Trapanese,,Netflix,"['10 July 2016 ', '19 September 2016 ', '7 October 2016 ']",108 minutes,,,,,Kevin Brodbin,,,English,Ireland South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mascots,Christopher Guest,,,Karen Murphy,"['Jane Lynch', 'Parker Posey', 'Christopher Guest', 'Fred Willard', 'Ed Begley Jr.', 'Christopher Moynihan', 'Don Lake', 'Zach Woods', ""Chris O'Dowd"", 'Bob Balaban', 'Jennifer Coolidge', 'Michael Hitchcock', 'John Michael Higgins', 'Jim Piddock', 'Maria Blasucci']",Kris Kachikis,Andrew Dickler,Jeffrey C.J. Vanston,,Netflix,"['September 10, 2016 ', 'October 13, 2016']",89 minutes,United States,,,,"['Christopher Guest', 'Jim Piddock']",,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,I Am the Pretty Thing That Lives in the House,Osgood Perkins,,,"['Rob Paris', 'Robert Menzies']","['Ruth Wilson', 'Bob Balaban', 'Lucy Boynton', 'Paula Prentiss']",Julie Kirkwood,Brian Ufberg,Elvis Perkins,"['Netflix', 'Paris Film', 'Zed Filmworks', 'Go Insane Films']",Netflix,"['September 10, 2016 ', 'October 28, 2016 ']",87 minutes,,,,,Osgood Perkins,,,English,"['Canada', 'United States']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
