,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
0,Beasts of No Nation,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor",Cary Joji Fukunaga,"['September 3, 2015 ', 'October 16, 2015 ']",138 minutes,United States,"['Participant Media', 'Red Crown Productions', 'New Balloon', 'Primary Productions', 'Parliament of Owls']",7.7,"Drama, War","A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",,Nominated for 1 BAFTA Award31 wins & 59 nominations total,"85,149",TV-MA,movie
1,The Ridiculous 6,"Adam Sandler, Terry Crews, Jorge Garcia",Frank Coraci,,120 minutes,United States,Happy Madison Productions,4.8,"Action, Adventure, Comedy","An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.",,N/A,"52,165",TV-14,movie
2,Pee-wee's Big Holiday,"Paul Reubens, Jordan Black, Doug Cox",John Lee,"['March 17, 2016 ', 'March 18, 2016 ']",89 minutes,United States,"['Pee-wee Pictures', 'Apatow Productions']",6.1,"Comedy, Family",A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,,N/A,"8,871",TV-PG,movie
3,Special Correspondents,"Ricky Gervais, Eric Bana, Vera Farmiga",Ricky Gervais,"['22 April 2016 ', '29 April 2016 ']",100 minutes,"Canada, United Kingdom, United States","['Bron Studios', 'Unanimous Entertainment']",5.9,Comedy,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,,N/A,"25,650",TV-MA,movie
4,The Do-Over,"Adam Sandler, David Spade, Paula Patton",Steve Brill,"['May 16, 2016 ', 'May 27, 2016 ']",108 minutes,United States,Happy Madison Productions,5.7,"Action, Adventure, Comedy","Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",,N/A,"49,828",TV-MA,movie
5,The Fundamentals of Caring,"Craig Roberts, Paul Rudd, Selena Gomez",Rob Burnett,"['January 29, 2016 ', 'June 24, 2016 ']",93 minutes,United States,"['Worldwide Pants', 'Levantine Films']",7.3,"Comedy, Drama",A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,,4 nominations,"77,231",TV-MA,movie
6,Brahman Naman,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad",Qaushiq Mukherjee,,95 minutes,"India, United Kingdom",,5.5,Comedy,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",,2 nominations,"1,985",N/A,movie
7,Rebirth,"Fran Kranz, Adam Goldberg, Nicky Whelan",Karl Mueller,"['April 17, 2016 ', 'July 15, 2016 ']",101 minutes,United States,Campfire,5.0,Thriller,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,,N/A,"5,743",TV-MA,movie
8,Tallulah,"Elliot Page, Allison Janney, Tammy Blanchard",Sian Heder,"['January 23, 2016 ', 'July 29, 2016 ']",111 minutes,United States,"['Route One Entertainment', 'Ocean Blue Entertainment']",6.7,"Comedy, Drama, Romance","Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.",,2 nominations,"21,129",N/A,movie
9,XOXO,"Sarah Hyland, Graham Phillips, Brett DelBuono",Christopher Louie,,92 minutes,United States,"['Netflix', 'PrettyBird']",5.3,"Drama, Music","Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.",,N/A,"7,215",TV-MA,movie
10,ARQ,"Robbie Amell, Rachael Taylor, Shaun Benson",Tony Elliott,"['9 September 2016 ', '16 September 2016 ']",88 minutes,"Canada, United States","['Lost City', 'XYZ Films', 'MXN Entertainment']",6.3,"Action, Sci-Fi, Thriller","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",,1 win & 3 nominations,"41,006",TV-MA,movie
11,The Siege of Jadotville,"Jamie Dornan, Emmanuelle Seigner, Mark Strong",Richie Smyth,"['10 July 2016 ', '19 September 2016 ', '7 October 2016 ']",108 minutes,"Ireland, South Africa",,7.2,"Action, Drama, History",Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,,3 wins & 4 nominations,"42,886",TV-MA,movie
12,Mascots,"Zach Woods, Wayne Wilderson, Sarah Baker",Christopher Guest,"['September 10, 2016 ', 'October 13, 2016']",89 minutes,United States,,5.8,Comedy,A look into the world of competitive mascots.,,1 win & 1 nomination,"7,914",TV-MA,movie
13,I Am the Pretty Thing That Lives in the House,"Ruth Wilson, Paula Prentiss, Bob Balaban",Osgood Perkins,"['September 10, 2016 ', 'October 28, 2016 ']",87 minutes,Canada,"['Netflix', 'Paris Film', 'Zed Filmworks', 'Go Insane Films']",4.6,"Drama, Horror, Mystery",A young nurse takes care of an elderly author who lives in a haunted house.,,2 nominations,"15,443",N/A,movie
14,7 años,"Ximena Herrera, Víctor González, Roberto Palazuelos",Roger Gual,,1h 17min,Mexico,,5.0,"Comedy, Romance","Conocer la pareja de tu vida es sólo obra del destino! Pero una cosa es casarse y otra, controlarse. Así que para sobrevivir la crisis del matrimonio, te diremos cómo lograrlo. Esta divertida comedia te enseñará que en el amor; TO...",,1 win,247,N/A,movie
15,True Memoirs of an International Assassin,"Kevin James, Kim Coates, Maurice Compte",Jeff Wadlow,,98 minutes,United States,PalmStar Media Global Film Group Broken Road Productions,5.9,"Action, Comedy, Crime","After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...",,N/A,"23,953",TV-14,movie
16,Mercy,"Frances O'Connor, Shirley Knight, Chandler Riggs",Chris Sparling,,90 minutes,United States,XYZ Films Uncorked Productions,5.0,"Horror, Thriller",A single mom and her two boys help take care of their grandmother with mystical powers.,,N/A,"5,680",R,movie
17,Spectral,"James Badge Dale, Emily Mortimer, Bruce Greenwood",Nic Mathieu,,107 minutes,"United States, Hungary",Legendary Pictures Universal Pictures Netflix Mid Atlantic Films,6.3,"Action, Adventure, Sci-Fi",A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,,N/A,"62,808",PG-13,movie
18,Barry,"Bill Hader, Stephen Root, Sarah Goldberg",Vikram Gandhi,"['September 10, 2016 ', 'December 16, 2016 ']",104 minutes,United States,"['Black Bear Pictures', 'Cinetic Media']",8.4,"Action, Comedy, Crime",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,,Won 9 Primetime Emmys. 51 wins & 187 nominations total,"114,282",TV-MA,series
19,Coin Heist,"Alex Saxon, Alexis G. Zall, Sasha Pieterse",Emily Hagins,,97 minutes,United States,Adaptive Studios,4.8,"Crime, Drama, Romance","United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.",,N/A,"2,936",TV-14,movie
20,Clinical,"Vinessa Shaw, Kevin Rahm, India Eisley",Alistair Legrand,,104 minutes,United States,Campfire,5.1,"Horror, Thriller","A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",,N/A,"8,822",N/A,movie
21,Take the 10,"Josh Peck, Tony Revolori, Kevin Corrigan",Chester Tam,,80 minutes,United States,Blue Creek Pictures Silver Lining Entertainment,4.8,Comedy,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",,N/A,"3,339",Not Rated,movie
22,iBoy,"Bill Milner, Maisie Williams, Miranda Richardson",Adam Randall,,90 minutes,United Kingdom,"['Netflix', 'XYZ Films', 'Wigwam Films', 'Pretty Pictures']",5.9,"Action, Crime, Sci-Fi","After being shot, Tom awakens from a coma to discover that fragments of his smartphone have been embedded in his head--and worse, that returning to normal teenage life is impossible because he has developed a strange set of superp...",,N/A,"23,967",TV-MA,movie
23,Imperial Dreams,"John Boyega, Rotimi, Glenn Plummer",Malik Vitthal,"['January 20, 2014 ', 'February 3, 2017 ']",90 minutes,United States,Super Crispy Entertainment,6.7,Drama,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",,10 wins & 6 nominations,"4,747",TV-MA,movie
24,Girlfriend's Day,"Bob Odenkirk, Amber Tamblyn, Stacy Keach",Michael Stephenson,,70 minutes,United States,"['Magic Stone Productions', 'Odenkirk Provissiero Entertainment']",5.2,"Comedy, Drama","A now down-on-his-luck romance card writer, Ray Wentworth, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day.",,N/A,"5,064",TV-MA,movie
25,I Don't Feel at Home in This World Anymore,"Melanie Lynskey, Chris Doubek, Marilyn Faith Hickey",Macon Blair,"['January 19, 2017 ', 'February 24, 2017 ']",96 minutes,United States,"['Film Science', 'XYZ Films']",6.9,"Comedy, Crime, Drama","When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",,3 wins & 3 nominations,"62,306",TV-MA,movie
26,Burning Sands,"Trevor Jackson, Tosin Cole, DeRon Horton",Gerard McMurray,"['January 24, 2017 ', 'March 10, 2017 ']",102 minutes,United States,"['Mandalay Pictures', 'Homegrown Pictures', 'Hudlin Entertainment', 'Freedom Road Productions']",6.0,Drama,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",,4 nominations,"2,999",TV-MA,movie
27,Deidra & Laney Rob a Train,"Ashleigh Murray, Rachel Crow, Lance Gray",Sydney Freeland,"['January 23, 2017 ', 'March 17, 2017 ']",,United States,['Netflix'],6.0,"Comedy, Crime, Drama","After their mother ends up in jail, two sisters turn to train robbery in order to support their family.",,1 nomination,"2,043",TV-14,movie
28,The Most Hated Woman in America,"Melissa Leo, Brandon Mychal Smith, Juno Temple",Tommy O'Haver,"['March 14, 2017 ', 'March 24, 2017 ']",91 minutes,United States,"['Brownstone Productions', 'Untitled Entertainment']",6.1,"Biography, Drama, History","The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.",,N/A,"7,146",TV-MA,movie
29,The Discovery,"Robert Redford, Mary Steenburgen, Brian McCarthy",Charlie McDowell,"['January 20, 2017 ', 'March 31, 2017 ']",102 minutes,United States,"['Endgame Entertainment', 'Protagonist Pictures', 'A-Lo Films']",6.2,"Drama, Romance, Sci-Fi","Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.",,N/A,"36,572",TV-MA,movie
30,Win It All,"Jake Johnson, Rony Shemon, Morgan Ng",Joe Swanberg,"['March 11, 2017 ', 'April 7, 2017 ']",90 minutes,United States,"['Forager Films', 'Garrett Doubles Down']",6.2,Comedy,"A small-time gambler agrees to stash a bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he can't resist the urge to dip into the funds.",,N/A,"10,009",TV-MA,movie
31,Sandy Wexler,"Adam Sandler, Jennifer Hudson, Kevin James",Steve Brill,"['April 7, 2017 ', 'April 14, 2017 ']",131 minutes,United States,Happy Madison Productions,5.2,Comedy,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",,1 win & 2 nominations,"18,350",TV-14,movie
32,Sand Castle,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill",Fernando Coimbra,,113 minutes,United States,"['42', 'Treehouse Pictures']",6.3,"Action, Drama, War","The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war.",,N/A,"26,012",TV-MA,movie
33,Tramps,"Callum Turner, Grace Van Patten, Michal Vondel",Adam Leon,"['September 10, 2016 ', 'April 21, 2017 ']",83 minutes,United States,"['Animal Kingdom', 'Rooks Nest Entertainment']",6.5,"Adventure, Romance",A young man and woman find love in an unlikely place while carrying out a shady deal.,,N/A,"6,062",N/A,movie
34,Small Crimes,"Nikolaj Coster-Waldau, Robert Forster, Jacki Weaver",Evan Katz,"['March 11, 2017 ', 'April 28, 2017 ']",95 minutes,"United States, Canada","['Rooks Nest Entertainment', 'Fairmount Films', 'Rumble Films']",5.8,"Crime, Drama, Thriller","A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.",,N/A,"8,672",TV-MA,movie
35,Handsome,"Alexander Bourne, Nicholas Bourne, Amber Maillard",Jeff Garlin,,81 minutes,United Kingdom,JZM Films,N/A,Documentary,Two brothers embark on a worldwide journey to discover what it's like for other siblings living with Down's syndrome.,,N/A,14,N/A,movie
36,Blame!,"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya",Hiroyuki Seshita,,106 minutes,Japan,Polygon Pictures,6.6,"Animation, Action, Drama","In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.",,N/A,"8,760",TV-14,movie
37,War Machine,"Brad Pitt, Daniel Betts, John Magaro",David Michôd,"['May 24, 2017 ', 'May 26, 2017 ']",122 minutes,United States,"['Plan B Entertainment', 'Blue-Tongue Films']",6.0,"Comedy, Drama, War","An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.",,3 nominations,"49,143",TV-MA,movie
38,Shimmer Lake,"Benjamin Walker, Rainn Wilson, Stephanie Sigman",Oren Uziel,,83 minutes,"Canada, United States","['Footprint Features', 'Writ Large']",6.3,"Action, Comedy, Crime",An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,,N/A,"16,172",Not Rated,movie
39,Okja,"Tilda Swinton, Paul Dano, Seo-hyun Ahn",Bong Joon-ho,"['May 19, 2017 ', 'June 28, 2017 ', 'June 29, 2017 ']",120 minutes,"South Korea, United States","['Plan B Entertainment', 'Lewis Pictures', 'Kate Street Picture Company']",7.3,"Action, Adventure, Drama","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.",,7 wins & 14 nominations,"128,743",TV-MA,movie
40,To the Bone,"Rebekah Kennedy, Lily Collins, Dana L. Wilson",Marti Noxon,"['January 22, 2017 ', 'July 14, 2017 ']",108 minutes,United States,"['AMBI Group', 'Sparkhouse Media', 'Foxtail Entertainment', 'Mockingbird Pictures', 'To The Bone Productions']",6.8,Drama,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",,2 nominations,"53,064",TV-MA,movie
41,The Incredible Jessica James,"Jessica Williams, Chris O'Dowd, LaKeith Stanfield",James C. Strouse,"['January 27, 2017 ', 'July 28, 2017 ']",83 minutes,United States,Beachside Films,6.5,Comedy,An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.,,3 nominations,"8,493",TV-MA,movie
42,Naked,"David Thewlis, Lesley Sharp, Katrin Cartlidge",Michael Tiddes,,96 minutes,United Kingdom,Broken Road Productions Baby Way Productions,7.7,"Comedy, Drama",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,,Nominated for 1 BAFTA Award8 wins & 7 nominations total,"42,345",Not Rated,movie
43,Death Note,"Mamoru Miyano, Brad Swaile, Vincent Tong",Adam Wingard,"['August 24, 2017 ', 'August 25, 2017 ']",100 minutes,Japan,"['Netflix', 'Vertigo Entertainment', 'LP Entertainment']",8.9,"Animation, Crime, Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,,2 wins & 1 nomination,"358,005",TV-14,series
44,Little Evil,"Evangeline Lilly, Owen Atlas, Adam Scott",Eli Craig,,95 minutes,United States,"['Bluegrass Films', 'Mandalay Pictures']",5.7,"Comedy, Fantasy, Horror","Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.",,1 nomination,"22,678",TV-MA,movie
45,Reality High,,Fernando Lebrija,,99 minutes,,,,,,,,,,
46,First They Killed My Father,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata",Angelina Jolie,"['February 18, 2017 ', 'September 15, 2017 ']",136 minutes,"Cambodia, United States",Jolie Pas,7.2,"Biography, Drama, History",Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,,Nominated for 1 BAFTA Award9 wins & 28 nominations total,"19,798",TV-MA,movie
47,Gerald's Game,"Carla Gugino, Bruce Greenwood, Chiara Aurelia",Mike Flanagan,"['September 19, 2017 ', 'September 29, 2017 ']",103 minutes,United States,Intrepid Pictures,6.5,"Drama, Horror, Thriller","A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.",,4 wins & 5 nominations,"120,201",TV-MA,movie
48,Our Souls at Night,"Robert Redford, Jane Fonda, Matthias Schoenaerts",Ritesh Batra,"['September 1, 2017 ', 'September 29, 2017 ']",101 minutes,United States,"Netflix Wildwood Enterprises, Inc",6.9,"Drama, Romance","Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neigh...",,2 nominations,"14,486",TV-14,movie
49,Bomb Scared,"Javier Cámara, Julián López, Miren Ibarguren",Borja Cobeaga,,89 minutes,Spain,"['Deluxe Spain', 'Mediapro', 'Netflix']",5.7,Comedy,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization.",,3 nominations,"2,998",N/A,movie
50,The Babysitter,"Judah Lewis, Samara Weaving, Robbie Amell",McG,,85 minutes,United States,"['Boies / Schiller Film Group Production', 'Wonderland Sound and Vision']",6.3,"Comedy, Horror","When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.",,N/A,"103,603",TV-MA,movie
51,The Meyerowitz Stories (New and Selected),,Noah Baumbach,"['May 21, 2017 ', 'October 13, 2017 ']",112 minutes,,"['IAC Films', 'Scott Rudin Productions']",,,,,,,,
52,1922,"Thomas Jane, Molly Parker, Dylan Schmid",Zak Hilditch,"['September 23, 2017 ', 'October 20, 2017 ']",101 minutes,"United States, Canada","['Campfire Productions', 'Mist Entertainment']",6.2,"Crime, Drama, Horror","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",,1 win & 4 nominations,"69,132",TV-MA,movie
53,Wheelman,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt",Jeremy Rush,,82 minutes,United States,"['The Solution Entertainment Group', 'WarParty Films']",6.4,"Action, Crime, Thriller",A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,,N/A,"21,842",TV-MA,movie
54,The Killer,"Chow Yun-Fat, Danny Lee, Sally Yeh",Marcelo Galvão,,,Hong Kong,,7.8,"Action, Crime, Drama",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,,2 wins & 6 nominations,"50,143",R,movie
55,A Christmas Prince,"Rose McIver, Ben Lamb, Alice Krige",Alex Zamm,,92 minutes,United States,MPCA,5.8,"Comedy, Family, Romance","When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",,N/A,"20,917",TV-PG,movie
56,El Camino Christmas,"Dax Shepard, Kurtwood Smith, Luke Grimes",David E. Talbert,,89 minutes,United States,Goldenlight Films Brother,5.7,"Comedy, Crime, Western","Eric comes to El Camino looking for his unknown dad. He's harassed, hit and jailed by a drunk local cop, who later shoots at a liquor mart with Eric +4 inside. The sheriff and deputy then shoot up the place, answering each other's...",,N/A,"9,969",TV-MA,movie
57,Christmas Inheritance,"Eliza Taylor, Jake Lacy, Andie MacDowell",Ernie Barbarash,,104 minutes,"United States, Canada, Germany",MPCA,5.7,"Comedy, Drama, Romance","To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",,N/A,"12,683",N/A,movie
58,Bright,"Will Smith, Joel Edgerton, Noomi Rapace",David Ayer,"['December 13, 2017 ', 'December 22, 2017 ']",118 minutes,United States,"['Overbrook Entertainment', 'Trigger Warning Entertainment', 'Grand Electric']",6.3,"Action, Fantasy, Thriller",A detective must work with an Orc to find a powerful wand before evil creatures do.,,1 win & 7 nominations,"197,992",TV-MA,movie
