Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot,Cleaned_Description,clean_plot,plot_sentiment,plot_subjectivity,Release Year,Release Month,netflix_director,Popular Actors,Running_bin
Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","Drama, War",Mature Audiences,138,2015-09-03,Cary Joji Fukunaga,"['Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor']",United States,0,Participant Media,1,31,59,84555.0,7.7,"Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.",a drama based on the experiences of agu a child soldier fighting in the civil war of an unnamed african country,follows the journey of a young boy agu who is forced to join a group of soldiers in a fictional west african country while agu fears his commander and many of the men around him his fledgling childhood has been brutally shattered by the war raging through his country and he is at first torn between conflicting revulsion and fascination depicts the mechanics of war and does not shy away from explicit visceral detail and paints a complex difficult picture of agu as a child soldier,-0.0875,0.45833333333333337,2015,9,0,0,Long
The Ridiculous 6,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.","Action, Adventure, Comedy",Mature Audiences,120,2015-12-11,Frank Coraci,"['Adam Sandler', 'Terry Crews', 'Jorge Garcia']",United States,0,Happy Madison Productions,0,0,0,51701.0,4.8,"A white man, Tommy, raised by Indians is approached by his long lost father who tells him he needs $50,000 or he'll die at the hands of his former gang. Tommy goes on an incredible and ridiculous journey picking up his other 5 new brothers on the way in a race to save their dad.",an outlaw who was raised by native americans discovers that he has five halfbrothers together the men go on a mission to find their wayward deadbeat dad,a white man tommy raised by indians is approached by his long lost father who tells him he needs 50000 or hell die at the hands of his former gang tommy goes on an incredible and ridiculous journey picking up his other 5 new brothers on the way in a race to save their dad,0.07543290043290042,0.4470779220779221,2015,12,0,1,Medium
Pee-wee's Big Holiday,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"Comedy, Family",Parental Guidance,89,2016-03-17,John Lee,"['Paul Reubens', 'Jordan Black', 'Doug Cox']",United States,0,Pee-wee Pictures,1,0,0,8470.0,6.1,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,a fateful meeting with a mysterious stranger inspires peewee herman to take his first holiday ever in this epic story of friendship and destiny,a fateful meeting with a mysterious stranger inspires peewee herman to take his first holiday ever in this epic story of friendship and destiny,0.11666666666666665,0.5777777777777778,2016,3,0,0,Medium
Special Correspondents,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,Comedy,Mature Audiences,100,2016-04-22,Ricky Gervais,"['Ricky Gervais', 'Eric Bana', 'Vera Farmiga']",Canada,1,Bron Studios,1,0,0,25488.0,5.9,"A New York radio reporter and his sound engineer are sent to Ecuador to cover a developing civil war. However, they lose their passports before leaving so come up with a Plan B: cover it from New York while pretending to be on the ground in Ecuador.",a radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in south america and hide out in new york instead,a new york radio reporter and his sound engineer are sent to ecuador to cover a developing civil war however they lose their passports before leaving so come up with a plan b cover it from new york while pretending to be on the ground in ecuador,0.22424242424242424,0.43636363636363634,2016,4,0,0,Medium
The Do-Over,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.","Action, Adventure, Comedy",Mature Audiences,108,2016-05-16,Steve Brill,"['Adam Sandler', 'David Spade', 'Paula Patton']",United States,0,Happy Madison Productions,0,0,0,49243.0,5.7,"Max (Adam Sandler) and Charlie (David Spade) old school friends who reunite at their 25th high school reunion are tired of their mundane lives: they decide to wipe the slate clean for a do-over. After faking their deaths and assuming new identities, could their lives be better the second time around?",two downontheirluck guys decide to fake their own deaths and start over with new identities only to find the people theyre pretending to be are in even deeper trouble,max adam sandler and charlie david spade old school friends who reunite at their 25th high school reunion are tired of their mundane lives they decide to wipe the slate clean for a doover after faking their deaths and assuming new identities could their lives be better the second time around,0.08704545454545455,0.40765151515151515,2016,5,1,1,Medium
The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,"Comedy, Drama",Mature Audiences,93,2016-01-29,Rob Burnett,"['Craig Roberts', 'Paul Rudd', 'Selena Gomez']",United States,0,Worldwide Pants,1,0,4,76551.0,7.3,"A writer (Paul Rudd) retires after a personal tragedy and becomes a disabled teen's caregiver. When the two embark on an impromptu road trip, their ability to cope is tested as they start to understand the importance of hope and friendship.",a man suffering a family loss enrolls in a class about caregiving that changes his perspective on life,a writer paul rudd retires after a personal tragedy and becomes a disabled teens caregiver when the two embark on an impromptu road trip their ability to cope is tested as they start to understand the importance of hope and friendship,-0.1,0.3,2016,1,0,0,Medium
Brahman Naman,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",Comedy,Not Rated,95,2016-07-07,Qaushiq Mukherjee,"['Shashank Arora', 'Tanmay Dhanania', 'Chaitanya Varad']",India,1,No Production Company Listed,1,0,2,1974.0,5.5,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",this homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything except how to talk to women,this homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything except how to talk to women,0.0,0.0,2016,7,0,0,Medium
Rebirth,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,Thriller,Mature Audiences,101,2016-04-17,Karl Mueller,"['Fran Kranz', 'Adam Goldberg', 'Nicky Whelan']",United States,0,Campfire,0,0,0,5709.0,5.0,"A white-collar suburban father Kyle (Fran Kranz) who is surprised at his office by long-lost college buddy Zack (Adam Goldberg). Zack is as wild and crazy as ever, brimming with excitement about the self-actualization program he's just finished called Rebirth. He talks Kyle into going on a weekend-long Rebirth retreat,handing over his keys, wallet, and phone. Thus begins his journey down a bizarre rabbit hole of psychodrama, seduction, and violence.",hes a family man headed for a weekend of selfdiscovery but its about to turn into a nightmare with no escape,a whitecollar suburban father kyle fran kranz who is surprised at his office by longlost college buddy zack adam goldberg zack is as wild and crazy as ever brimming with excitement about the selfactualization program hes just finished called rebirth he talks kyle into going on a weekendlong rebirth retreathanding over his keys wallet and phone thus begins his journey down a bizarre rabbit hole of psychodrama seduction and violence,-0.025925925925925925,0.5148148148148148,2016,4,0,0,Medium
Tallulah,"Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.","Comedy, Drama, Romance",Not Rated,111,2016-01-23,Sian Heder,"['Elliot Page', 'Allison Janney', 'Tammy Blanchard']",United States,0,Route One Entertainment,1,0,2,21071.0,6.7,"An intelligent but feral girl's boyfriend leaves unexpectedly causing her to search for him at his estranged mother's home. The two women begin to bond, finding supportive friendship in each other's troubled lives, changing their outlook forever.",desperate to be rid of her toddler a dissatisfied manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for,an intelligent but feral girls boyfriend leaves unexpectedly causing her to search for him at his estranged mothers home the two women begin to bond finding supportive friendship in each others troubled lives changing their outlook forever,0.22499999999999998,0.975,2016,1,0,0,Medium
XOXO,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.","Drama, Music",Mature Audiences,92,2016-08-26,Christopher Louie,"['Sarah Hyland', 'Graham Phillips', 'Brett DelBuono']",United States,0,Netflix,1,0,0,7187.0,5.3,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.",six strangers lives collide in one frenetic dreamchasing hopelessly romantic night,six strangers lives collide in one frenetic dreamchasing hopelessly romantic night,0.0,0.5,2016,8,0,0,Medium
