,Title,Description,Rated_General Audiences,Rated_Mature Audiences,Rated_Not Rated,Rated_Parental Guidance,Netflix_director,Actor_Weight,Netflix_popular_company,Running Time(mins)_scaled,Wins_scaled,Nominations_scaled,IMDb Votes_scaled,IMDb Score_scaled,Release Year_scaled,Multiple Production Companies,International,Release Year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Primary_Country_Argentina,Primary_Country_Australia,Primary_Country_Austria,Primary_Country_Belgium,Primary_Country_Brazil,Primary_Country_Cambodia,Primary_Country_Canada,Primary_Country_Chile,Primary_Country_China,Primary_Country_Czech Republic,Primary_Country_Denmark,Primary_Country_France,Primary_Country_Georgia,Primary_Country_Germany,Primary_Country_Greece,Primary_Country_Hong Kong,Primary_Country_Hungary,Primary_Country_Iceland,Primary_Country_India,Primary_Country_Indonesia,Primary_Country_Ireland,Primary_Country_Israel,Primary_Country_Italy,Primary_Country_Japan,Primary_Country_Mexico,Primary_Country_Netherlands,Primary_Country_New Zealand,Primary_Country_Nigeria,Primary_Country_Norway,Primary_Country_Pakistan,Primary_Country_Peru,Primary_Country_Philippines,Primary_Country_Poland,Primary_Country_South Africa,Primary_Country_South Korea,Primary_Country_Spain,Primary_Country_Sweden,Primary_Country_Thailand,Primary_Country_Turkey,Primary_Country_United Arab Emirates,Primary_Country_United Kingdom,Primary_Country_United States,Cleaned_Description,Token_Description,Stem_Description,Stem_Description_String
0,Beasts of No Nation,"Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.",0,1,0,0,0,0.0034883720930232,0,0.645,0.1127272727272727,0.1657303370786516,0.1149738074644646,0.8285714285714285,0.9183673469387728,1,0,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,follows the journey of a young boy agu who is forced to join a group of soldiers in a fictional west african country while agu fears his commander and many of the men around him his fledgling childhood has been brutally shattered by the war raging through his country and he is at first torn between conflicting revulsion and fascination depicts the mechanics of war and does not shy away from explicit visceral detail and paints a complex difficult picture of agu as a child soldier,"['follows', 'the', 'journey', 'of', 'a', 'young', 'boy', 'agu', 'who', 'is', 'forced', 'to', 'join', 'a', 'group', 'of', 'soldiers', 'in', 'a', 'fictional', 'west', 'african', 'country', 'while', 'agu', 'fears', 'his', 'commander', 'and', 'many', 'of', 'the', 'men', 'around', 'him', 'his', 'fledgling', 'childhood', 'has', 'been', 'brutally', 'shattered', 'by', 'the', 'war', 'raging', 'through', 'his', 'country', 'and', 'he', 'is', 'at', 'first', 'torn', 'between', 'conflicting', 'revulsion', 'and', 'fascination', 'depicts', 'the', 'mechanics', 'of', 'war', 'and', 'does', 'not', 'shy', 'away', 'from', 'explicit', 'visceral', 'detail', 'and', 'paints', 'a', 'complex', 'difficult', 'picture', 'of', 'agu', 'as', 'a', 'child', 'soldier']","['follow', 'the', 'journey', 'of', 'a', 'young', 'boy', 'agu', 'who', 'is', 'forc', 'to', 'join', 'a', 'group', 'of', 'soldier', 'in', 'a', 'fiction', 'west', 'african', 'countri', 'while', 'agu', 'fear', 'hi', 'command', 'and', 'mani', 'of', 'the', 'men', 'around', 'him', 'hi', 'fledgl', 'childhood', 'ha', 'been', 'brutal', 'shatter', 'by', 'the', 'war', 'rage', 'through', 'hi', 'countri', 'and', 'he', 'is', 'at', 'first', 'torn', 'between', 'conflict', 'revuls', 'and', 'fascin', 'depict', 'the', 'mechan', 'of', 'war', 'and', 'doe', 'not', 'shi', 'away', 'from', 'explicit', 'viscer', 'detail', 'and', 'paint', 'a', 'complex', 'difficult', 'pictur', 'of', 'agu', 'as', 'a', 'child', 'soldier']",follow the journey of a young boy agu who is forc to join a group of soldier in a fiction west african countri while agu fear hi command and mani of the men around him hi fledgl childhood ha been brutal shatter by the war rage through hi countri and he is at first torn between conflict revuls and fascin depict the mechan of war and doe not shi away from explicit viscer detail and paint a complex difficult pictur of agu as a child soldier
1,The Ridiculous 6,"A white man, Tommy, raised by Indians is approached by his long lost father who tells him he needs $50,000 or he'll die at the hands of his former gang. Tommy goes on an incredible and ridiculous journey picking up his other 5 new brothers on the way in a race to save their dad.",0,1,0,0,0,0.0127906976744186,1,0.5549999999999999,0.0,0.0,0.0702941832443929,0.4142857142857142,0.9183673469387728,0,0,2015,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a white man tommy raised by indians is approached by his long lost father who tells him he needs 50000 or hell die at the hands of his former gang tommy goes on an incredible and ridiculous journey picking up his other 5 new brothers on the way in a race to save their dad,"['a', 'white', 'man', 'tommy', 'raised', 'by', 'indians', 'is', 'approached', 'by', 'his', 'long', 'lost', 'father', 'who', 'tells', 'him', 'he', 'needs', '50000', 'or', 'hell', 'die', 'at', 'the', 'hands', 'of', 'his', 'former', 'gang', 'tommy', 'goes', 'on', 'an', 'incredible', 'and', 'ridiculous', 'journey', 'picking', 'up', 'his', 'other', '5', 'new', 'brothers', 'on', 'the', 'way', 'in', 'a', 'race', 'to', 'save', 'their', 'dad']","['a', 'white', 'man', 'tommi', 'rais', 'by', 'indian', 'is', 'approach', 'by', 'hi', 'long', 'lost', 'father', 'who', 'tell', 'him', 'he', 'need', '50000', 'or', 'hell', 'die', 'at', 'the', 'hand', 'of', 'hi', 'former', 'gang', 'tommi', 'goe', 'on', 'an', 'incred', 'and', 'ridicul', 'journey', 'pick', 'up', 'hi', 'other', '5', 'new', 'brother', 'on', 'the', 'way', 'in', 'a', 'race', 'to', 'save', 'their', 'dad']",a white man tommi rais by indian is approach by hi long lost father who tell him he need 50000 or hell die at the hand of hi former gang tommi goe on an incred and ridicul journey pick up hi other 5 new brother on the way in a race to save their dad
2,Pee-wee's Big Holiday,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,0,0,0,1,0,0.0034883720930232,0,0.4,0.0,0.0,0.0115024125419542,0.5999999999999999,0.928571428571427,1,0,2016,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a fateful meeting with a mysterious stranger inspires peewee herman to take his first holiday ever in this epic story of friendship and destiny,"['a', 'fateful', 'meeting', 'with', 'a', 'mysterious', 'stranger', 'inspires', 'peewee', 'herman', 'to', 'take', 'his', 'first', 'holiday', 'ever', 'in', 'this', 'epic', 'story', 'of', 'friendship', 'and', 'destiny']","['a', 'fate', 'meet', 'with', 'a', 'mysteri', 'stranger', 'inspir', 'peewe', 'herman', 'to', 'take', 'hi', 'first', 'holiday', 'ever', 'in', 'thi', 'epic', 'stori', 'of', 'friendship', 'and', 'destini']",a fate meet with a mysteri stranger inspir peewe herman to take hi first holiday ever in thi epic stori of friendship and destini
3,Special Correspondents,"A New York radio reporter and his sound engineer are sent to Ecuador to cover a developing civil war. However, they lose their passports before leaving so come up with a Plan B: cover it from New York while pretending to be on the ground in Ecuador.",0,1,0,0,0,0.0046511627906976,1,0.455,0.0,0.0,0.0346459519885111,0.5714285714285714,0.928571428571427,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a new york radio reporter and his sound engineer are sent to ecuador to cover a developing civil war however they lose their passports before leaving so come up with a plan b cover it from new york while pretending to be on the ground in ecuador,"['a', 'new', 'york', 'radio', 'reporter', 'and', 'his', 'sound', 'engineer', 'are', 'sent', 'to', 'ecuador', 'to', 'cover', 'a', 'developing', 'civil', 'war', 'however', 'they', 'lose', 'their', 'passports', 'before', 'leaving', 'so', 'come', 'up', 'with', 'a', 'plan', 'b', 'cover', 'it', 'from', 'new', 'york', 'while', 'pretending', 'to', 'be', 'on', 'the', 'ground', 'in', 'ecuador']","['a', 'new', 'york', 'radio', 'report', 'and', 'hi', 'sound', 'engin', 'are', 'sent', 'to', 'ecuador', 'to', 'cover', 'a', 'develop', 'civil', 'war', 'howev', 'they', 'lose', 'their', 'passport', 'befor', 'leav', 'so', 'come', 'up', 'with', 'a', 'plan', 'b', 'cover', 'it', 'from', 'new', 'york', 'while', 'pretend', 'to', 'be', 'on', 'the', 'ground', 'in', 'ecuador']",a new york radio report and hi sound engin are sent to ecuador to cover a develop civil war howev they lose their passport befor leav so come up with a plan b cover it from new york while pretend to be on the ground in ecuador
4,The Do-Over,"Max (Adam Sandler) and Charlie (David Spade) old school friends who reunite at their 25th high school reunion are tired of their mundane lives: they decide to wipe the slate clean for a do-over. After faking their deaths and assuming new identities, could their lives be better the second time around?",0,1,0,0,1,0.013953488372093,1,0.495,0.0,0.0,0.0669514390935152,0.5428571428571429,0.928571428571427,0,0,2016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,max adam sandler and charlie david spade old school friends who reunite at their 25th high school reunion are tired of their mundane lives they decide to wipe the slate clean for a doover after faking their deaths and assuming new identities could their lives be better the second time around,"['max', 'adam', 'sandler', 'and', 'charlie', 'david', 'spade', 'old', 'school', 'friends', 'who', 'reunite', 'at', 'their', '25th', 'high', 'school', 'reunion', 'are', 'tired', 'of', 'their', 'mundane', 'lives', 'they', 'decide', 'to', 'wipe', 'the', 'slate', 'clean', 'for', 'a', 'doover', 'after', 'faking', 'their', 'deaths', 'and', 'assuming', 'new', 'identities', 'could', 'their', 'lives', 'be', 'better', 'the', 'second', 'time', 'around']","['max', 'adam', 'sandler', 'and', 'charli', 'david', 'spade', 'old', 'school', 'friend', 'who', 'reunit', 'at', 'their', '25th', 'high', 'school', 'reunion', 'are', 'tire', 'of', 'their', 'mundan', 'live', 'they', 'decid', 'to', 'wipe', 'the', 'slate', 'clean', 'for', 'a', 'doover', 'after', 'fake', 'their', 'death', 'and', 'assum', 'new', 'ident', 'could', 'their', 'live', 'be', 'better', 'the', 'second', 'time', 'around']",max adam sandler and charli david spade old school friend who reunit at their 25th high school reunion are tire of their mundan live they decid to wipe the slate clean for a doover after fake their death and assum new ident could their live be better the second time around
5,The Fundamentals of Caring,"A writer (Paul Rudd) retires after a personal tragedy and becomes a disabled teen's caregiver. When the two embark on an impromptu road trip, their ability to cope is tested as they start to understand the importance of hope and friendship.",0,1,0,0,0,0.0046511627906976,0,0.42,0.0,0.0112359550561797,0.1040888098307684,0.7714285714285714,0.928571428571427,1,0,2016,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a writer paul rudd retires after a personal tragedy and becomes a disabled teens caregiver when the two embark on an impromptu road trip their ability to cope is tested as they start to understand the importance of hope and friendship,"['a', 'writer', 'paul', 'rudd', 'retires', 'after', 'a', 'personal', 'tragedy', 'and', 'becomes', 'a', 'disabled', 'teens', 'caregiver', 'when', 'the', 'two', 'embark', 'on', 'an', 'impromptu', 'road', 'trip', 'their', 'ability', 'to', 'cope', 'is', 'tested', 'as', 'they', 'start', 'to', 'understand', 'the', 'importance', 'of', 'hope', 'and', 'friendship']","['a', 'writer', 'paul', 'rudd', 'retir', 'after', 'a', 'person', 'tragedi', 'and', 'becom', 'a', 'disabl', 'teen', 'caregiv', 'when', 'the', 'two', 'embark', 'on', 'an', 'impromptu', 'road', 'trip', 'their', 'abil', 'to', 'cope', 'is', 'test', 'as', 'they', 'start', 'to', 'understand', 'the', 'import', 'of', 'hope', 'and', 'friendship']",a writer paul rudd retir after a person tragedi and becom a disabl teen caregiv when the two embark on an impromptu road trip their abil to cope is test as they start to understand the import of hope and friendship
6,Brahman Naman,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",0,0,1,0,0,0.0034883720930232,0,0.43,0.0,0.0056179775280898,0.002668211563882,0.5142857142857142,0.928571428571427,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,this homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything except how to talk to women,"['this', 'homage', 'to', '1980s', 'teen', 'sex', 'comedies', 'follows', 'a', 'college', 'quiz', 'bowl', 'champion', 'who', 'knows', 'almost', 'everything', 'except', 'how', 'to', 'talk', 'to', 'women']","['thi', 'homag', 'to', '1980', 'teen', 'sex', 'comedi', 'follow', 'a', 'colleg', 'quiz', 'bowl', 'champion', 'who', 'know', 'almost', 'everyth', 'except', 'how', 'to', 'talk', 'to', 'women']",thi homag to 1980 teen sex comedi follow a colleg quiz bowl champion who know almost everyth except how to talk to women
7,Rebirth,"A white-collar suburban father Kyle (Fran Kranz) who is surprised at his office by long-lost college buddy Zack (Adam Goldberg). Zack is as wild and crazy as ever, brimming with excitement about the self-actualization program he's just finished called Rebirth. He talks Kyle into going on a weekend-long Rebirth retreat,handing over his keys, wallet, and phone. Thus begins his journey down a bizarre rabbit hole of psychodrama, seduction, and violence.",0,1,0,0,0,0.0034883720930232,1,0.46,0.0,0.0,0.0077476051373272,0.4428571428571428,0.928571428571427,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a whitecollar suburban father kyle fran kranz who is surprised at his office by longlost college buddy zack adam goldberg zack is as wild and crazy as ever brimming with excitement about the selfactualization program hes just finished called rebirth he talks kyle into going on a weekendlong rebirth retreathanding over his keys wallet and phone thus begins his journey down a bizarre rabbit hole of psychodrama seduction and violence,"['a', 'whitecollar', 'suburban', 'father', 'kyle', 'fran', 'kranz', 'who', 'is', 'surprised', 'at', 'his', 'office', 'by', 'longlost', 'college', 'buddy', 'zack', 'adam', 'goldberg', 'zack', 'is', 'as', 'wild', 'and', 'crazy', 'as', 'ever', 'brimming', 'with', 'excitement', 'about', 'the', 'selfactualization', 'program', 'hes', 'just', 'finished', 'called', 'rebirth', 'he', 'talks', 'kyle', 'into', 'going', 'on', 'a', 'weekendlong', 'rebirth', 'retreathanding', 'over', 'his', 'keys', 'wallet', 'and', 'phone', 'thus', 'begins', 'his', 'journey', 'down', 'a', 'bizarre', 'rabbit', 'hole', 'of', 'psychodrama', 'seduction', 'and', 'violence']","['a', 'whitecollar', 'suburban', 'father', 'kyle', 'fran', 'kranz', 'who', 'is', 'surpris', 'at', 'hi', 'offic', 'by', 'longlost', 'colleg', 'buddi', 'zack', 'adam', 'goldberg', 'zack', 'is', 'as', 'wild', 'and', 'crazi', 'as', 'ever', 'brim', 'with', 'excit', 'about', 'the', 'selfactu', 'program', 'he', 'just', 'finish', 'call', 'rebirth', 'he', 'talk', 'kyle', 'into', 'go', 'on', 'a', 'weekendlong', 'rebirth', 'retreathand', 'over', 'hi', 'key', 'wallet', 'and', 'phone', 'thu', 'begin', 'hi', 'journey', 'down', 'a', 'bizarr', 'rabbit', 'hole', 'of', 'psychodrama', 'seduct', 'and', 'violenc']",a whitecollar suburban father kyle fran kranz who is surpris at hi offic by longlost colleg buddi zack adam goldberg zack is as wild and crazi as ever brim with excit about the selfactu program he just finish call rebirth he talk kyle into go on a weekendlong rebirth retreathand over hi key wallet and phone thu begin hi journey down a bizarr rabbit hole of psychodrama seduct and violenc
8,Tallulah,"An intelligent but feral girl's boyfriend leaves unexpectedly causing her to search for him at his estranged mother's home. The two women begin to bond, finding supportive friendship in each other's troubled lives, changing their outlook forever.",0,0,1,0,0,0.0046511627906976,0,0.51,0.0,0.0056179775280898,0.0286390761079469,0.6857142857142857,0.928571428571427,1,0,2016,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,an intelligent but feral girls boyfriend leaves unexpectedly causing her to search for him at his estranged mothers home the two women begin to bond finding supportive friendship in each others troubled lives changing their outlook forever,"['an', 'intelligent', 'but', 'feral', 'girls', 'boyfriend', 'leaves', 'unexpectedly', 'causing', 'her', 'to', 'search', 'for', 'him', 'at', 'his', 'estranged', 'mothers', 'home', 'the', 'two', 'women', 'begin', 'to', 'bond', 'finding', 'supportive', 'friendship', 'in', 'each', 'others', 'troubled', 'lives', 'changing', 'their', 'outlook', 'forever']","['an', 'intellig', 'but', 'feral', 'girl', 'boyfriend', 'leav', 'unexpectedli', 'caus', 'her', 'to', 'search', 'for', 'him', 'at', 'hi', 'estrang', 'mother', 'home', 'the', 'two', 'women', 'begin', 'to', 'bond', 'find', 'support', 'friendship', 'in', 'each', 'other', 'troubl', 'live', 'chang', 'their', 'outlook', 'forev']",an intellig but feral girl boyfriend leav unexpectedli caus her to search for him at hi estrang mother home the two women begin to bond find support friendship in each other troubl live chang their outlook forev
9,XOXO,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.",0,1,0,0,0,0.0034883720930232,1,0.415,0.0,0.0,0.0097576034509957,0.4857142857142857,0.928571428571427,1,0,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,six strangers lives collide in one frenetic dreamchasing hopelessly romantic night,"['six', 'strangers', 'lives', 'collide', 'in', 'one', 'frenetic', 'dreamchasing', 'hopelessly', 'romantic', 'night']","['six', 'stranger', 'live', 'collid', 'in', 'one', 'frenet', 'dreamchas', 'hopelessli', 'romant', 'night']",six stranger live collid in one frenet dreamchas hopelessli romant night
